id,title,publish_utc,sports_name,user_name,likes,views
193,Liverpool jump back to pole position in the Premier League courtesy two late goals,2019-04-06 18:14:27,Football,Aravind Viswanath,0,126
194,India go down fighting to South Korea in the Azlan Shah Cup finale,2019-04-06 18:13:25,Hockey,Aravind Viswanath,0,177
195,Messi magic sees Barca trounce Atletico,2019-04-07 22:43:25,Football,Aravind Viswanath,0,186
196,Debutant Alzarri Joseph breaks a rare record and carves his way through Sunrisers Hyderabad,2019-04-07 22:44:35,Cricket,Aravind Viswanath,0,172
197,LeBron-less Lakers get back to winning ways against the Utah Jazz,2019-04-08 20:03:31,Basketball,Aravind Viswanath,0,184
198,The UEFA Champions League last-eight preview,2019-04-09 18:32:56,Football,Aravind Viswanath,0,142
199,Spurs come on top of City in the Champions League last eight as Kane limps off midway,2019-04-10 17:49:32,Football,Aravind Viswanath,0,59
200,Liverpool shrug off Porto in the first leg of the Champions League,2019-04-10 17:48:07,Football,Aravind Viswanath,0,78
201,Manchester United better on the night even as Barca escape with a win,2019-04-11 19:39:26,Football,Aravind Viswanath,0,96
202,Arsenal and Chelsea take one step closer to semis in the Europa League,2019-04-12 19:23:34,Football,Aravind Viswanath,0,79
203,The resurgence of KL Rahul and how the Indian has found his form,2019-04-14 05:27:46,Cricket,Aravind Viswanath,0,133
204,Fortune favours United as they slip past West Ham thanks to Paul Pogba,2019-04-14 05:26:34,Football,Aravind Viswanath,0,85
205,Hamilton pips Bottas to claim the Chinese Grand Prix,2019-04-14 18:45:01,F1,Aravind Viswanath,0,873
206,The NBA Playoffs are well and truly under way,2019-04-14 18:46:03,Basketball,Aravind Viswanath,0,184
207,Sensational Liverpool crush Chelsea to go top of the table,2019-04-15 20:49:40,Football,Aravind Viswanath,0,67
208,Tiger Woods reigns supreme at the Augusta Masters,2019-04-15 20:47:54,Golf,Aravind Viswanath,0,72
209,Barcelona crush Man United to coast into the Champions League semis,2019-04-16 23:11:55,Football,Aravind Viswanath,0,77
210,Ajax stun Ronaldo's Juventus to storm through to the UCL semis,2019-04-17 18:29:05,Football,Aravind Viswanath,0,119
211,Clippers come from behind to register a playoff record and stun the Warriors,2019-04-17 18:28:09,Basketball,Aravind Viswanath,0,87
212,The rising stature of the FIFA Women's World Cup and women's football,2019-04-18 05:57:19,Football,Devang Prasad,0,134
213,Spurs knock out City from the Champions League in a nail-biter,2019-04-18 20:17:27,Football,Aravind Viswanath,0,119
214,Arsenal and Chelsea make it to the Europa League last four,2019-04-19 19:15:52,Football,Aravind Viswanath,0,100
215,Fabio Fognini crushes Nadal in the Monte Carlo Masters semis,2019-04-20 20:03:19,Tennis,Aravind Viswanath,0,72
216,Real Madrid romps home against Athletic Bilbao inspired by Benzema's hat-trick heroics,2019-04-21 21:10:05,Football,Aravind Viswanath,0,70
217,Fabio Fognini crowned as the Monte Carlo Masters Champion,2019-04-22 21:01:14,Tennis,Aravind Viswanath,0,77
218,Chennai Super Kings reclaim top spot after seeing off Sunrisers' challenge,2019-04-24 04:21:52,Cricket,Aravind Viswanath,0,49
219,Juventus take home their eighth consecutive Scudetto,2019-04-24 04:24:00,Football,Aravind Viswanath,0,50
220,Dame Time: Three of Damian Lillard's most thrilling last-second game winners,2019-04-25 11:36:43,Basketball,Devang Prasad,0,158
221,Naomi Osaka qualifies for the Stuttgart Open semis,2019-04-26 21:10:42,Tennis,Aravind Viswanath,0,80
222,Mumbai Indians thrash CSK and climb to second place in the IPL table,2019-04-26 21:11:38,Cricket,Aravind Viswanath,0,63
223,David Ferrer: Carving a legacy while battling the Gods of Tennis,2019-04-27 09:24:34,Tennis,Devang Prasad,0,114
224,Messi-inspired Barcelona wins the La Liga title,2019-04-27 21:59:38,Football,Aravind Viswanath,0,71
225,Delhi Capitals outclass Royal Challengers Bangalore to reach the IPL Playoffs,2019-04-28 20:49:57,Cricket,Aravind Viswanath,0,56
226,Dominic Thiem crowned the Barcelona Masters champion,2019-04-28 20:50:37,Tennis,Aravind Viswanath,0,65
228,Hardik Pandya's blitz in vain as Andre Russell has the last laugh at the Eden Gardens,2019-04-29 10:40:48,Cricket,Aravind Viswanath,0,61
230,Philadelphia 76ers beat Toronto Raptors to level the series 1-1,2019-04-30 11:20:01,Basketball,Aravind Viswanath,0,91
231,Bayern lead in the Bundesliga after draw against Nurnberg,2019-04-30 11:18:39,Football,Aravind Viswanath,0,78
232,Giant killers Ajax upset Spurs in the first leg of the UCL semis,2019-05-02 02:45:23,Football,Aravind Viswanath,0,70
234,Barcelona sink Liverpool with three deadly strikes in the first leg of the UCL semis,2019-05-03 04:39:11,Football,Aravind Viswanath,0,56
235,Mumbai dart into the IPL playoffs after a Super Over finish against the Sunrisers,2019-05-03 13:02:40,Cricket,Aravind Viswanath,0,49
